Player,Tm,G,PER,WS/48,VORP
Jeff Adrien,HOU,8,11.2,.106,0.0
Arron Afflalo,DEN,62,14.7,.121,1.1
Blake Ahearn,UTA,4,-7.3,-0.315,-0.1
Solomon Alabi,TOR,14,14.2,.083,0.0
Cole Aldrich,OKC,26,17.7,.176,0.1
LaMarcus Aldridge,POR,55,22.7,.169,2.5
Lavoy Allen,PHI,41,12.7,.124,0.0
Ray Allen*,BOS,46,14.8,.145,1.6
Tony Allen,MEM,58,15.7,.131,1.4
Morris Almond,WAS,4,8.7,.032,0.0
Al-Farouq Aminu,NOH,66,10.6,.044,-0.1
Lou Amundson,IND,60,11.5,.062,-0.4
Chris Andersen,DEN,32,18.9,.183,0.5
Alan Anderson,TOR,17,8.7,.032,-0.1
James Anderson,SAS,51,8.8,.040,-0.3
Ryan Anderson,ORL,61,21.2,.219,3.0
Carmelo Anthony,NYK,55,21.1,.160,2.7
Joel Anthony,MIA,64,10.3,.122,0.5
Gilbert Arenas,MEM,17,9.9,.088,0.0
Trevor Ariza,NOH,41,14.2,.078,1.1
Ömer Aşık,CHI,66,13.4,.129,0.3
D.J. Augustin,CHA,48,14.1,.018,-0.2
Gustavo Ayón,NOH,54,16.7,.142,1.2
Jeff Ayres,IND,20,13.4,.115,0.0
Kelenna Azubuike,DAL,3,-3.4,-0.325,-0.1
Luke Babbitt,POR,40,11.3,.064,0.0
Renaldo Balkman,NYK,14,14.3,.142,0.0
Leandro Barbosa,TOT,64,14.0,.060,0.3
Leandro Barbosa,TOR,42,14.2,.052,0.2
Leandro Barbosa,IND,22,13.4,.076,0.1
J.J. Barea,MIN,41,14.9,.056,0.3
Andrea Bargnani,TOR,31,17.9,.104,0.8
Matt Barnes,LAL,63,15.5,.142,1.3
Earl Barron,GSW,2,4.7,.054,0.0
Brandon Bass,BOS,59,14.1,.122,0.5
Tony Battie,PHI,27,7.3,.076,-0.1
Shane Battier,MIA,65,9.7,.104,1.1
Nicolas Batum,POR,59,17.3,.127,2.0
Jerryd Bayless,TOR,31,17.7,.139,0.6
Michael Beasley,MIN,47,13.0,.022,0.0
Rodrigue Beaubois,DAL,53,15.3,.092,1.0
Marco Belinelli,NOH,66,11.9,.071,0.4
Raja Bell,UTA,34,8.3,.069,-0.1
Keith Benson,GSW,3,6.0,-0.005,0.0
Mike Bibby,NYK,39,7.8,.061,0.0
Andris Biedriņš,GSW,47,8.8,.085,0.0
Chauncey Billups,LAC,20,16.1,.135,0.4
Bismack Biyombo,CHA,63,10.6,.019,-1.0
DeJuan Blair,SAS,64,17.6,.142,0.6
Steve Blake,LAL,53,8.5,.040,-0.2
Andray Blatche,WAS,26,10.6,-0.011,-0.4
Eric Bledsoe,LAC,40,11.2,.022,0.0
Keith Bogans,NJN,5,4.8,-0.005,-0.1
Andrew Bogut,MIL,12,14.9,.062,0.2
Matt Bonner,SAS,65,13.2,.143,1.5
Trevor Booker,WAS,50,15.4,.113,0.4
Carlos Boozer,CHI,66,19.7,.187,2.3
Chris Bosh*,MIA,57,18.9,.165,1.4
Earl Boykins,HOU,8,10.3,.029,-0.1
Craig Brackins,PHI,14,4.3,-0.065,-0.2
Avery Bradley,BOS,64,11.3,.085,0.1
Elton Brand,PHI,60,18.0,.168,1.6
Corey Brewer,DEN,59,13.7,.085,0.6
Ronnie Brewer,CHI,66,12.3,.113,1.1
Jon Brockman,MIL,35,6.6,.023,-0.3
MarShon Brooks,NJN,56,12.9,.022,-0.2
Derrick Brown,CHA,65,14.7,.076,0.2
Kwame Brown,GSW,9,11.1,.031,-0.1
Shannon Brown,PHO,59,13.6,.054,0.3
Kobe Bryant*,LAL,58,21.9,.132,2.9
Chase Budinger,HOU,58,14.9,.111,1.0
Alec Burks,UTA,59,14.0,.076,0.0
Caron Butler,LAC,63,11.7,.059,0.0
Jimmy Butler,CHI,42,12.5,.144,0.1
Rasual Butler,TOR,34,4.8,-0.022,-0.3
Derrick Byars,SAS,2,14.9,.147,0.0
Andrew Bynum,LAL,60,22.9,.183,2.6
Will Bynum,DET,36,10.0,-0.022,-0.4
José Calderón,TOR,53,16.7,.136,1.7
Marcus Camby,TOT,59,16.2,.127,1.4
Marcus Camby,POR,40,14.5,.100,0.8
Marcus Camby,HOU,19,19.6,.179,0.6
Brian Cardinal,DAL,44,3.3,.004,-0.2
DeMarre Carroll,TOT,24,11.1,.069,0.0
DeMarre Carroll,DEN,4,25.2,.211,0.1
DeMarre Carroll,UTA,20,10.1,.060,-0.1
Matt Carroll,CHA,53,5.6,-0.051,-0.8
Anthony Carter,TOR,24,8.7,.001,-0.1
Vince Carter,DAL,61,13.6,.090,0.8
Omri Casspi,CLE,65,11.2,.044,-0.1
Mario Chalmers,MIA,64,12.9,.112,1.1
Tyson Chandler,NYK,62,18.7,.220,2.2
Wilson Chandler,DEN,8,9.0,-0.021,-0.1
Josh Childress,PHO,34,11.1,.092,0.2
Earl Clark,ORL,45,8.1,.027,-0.4
Norris Cole,MIA,65,7.9,.000,-1.4
Jason Collins,ATL,30,3.7,.025,-0.3
Darren Collison,IND,60,13.6,.098,0.9
Nick Collison,OKC,63,12.1,.130,0.7
Mike Conley,MEM,62,16.8,.141,2.4
Brian Cook,TOT,32,5.8,-0.011,-0.4
Brian Cook,LAC,16,0.0,-0.098,-0.3
Brian Cook,WAS,16,10.4,.058,-0.1
Daequan Cook,OKC,57,9.2,.078,0.2
DeMarcus Cousins,SAC,64,21.7,.104,0.6
Jamal Crawford,POR,60,15.7,.069,0.7
Jordan Crawford,WAS,64,14.5,.029,0.1
Dante Cunningham,MEM,64,14.9,.147,0.8
Eddy Curry,MIA,14,3.6,-0.046,-0.2
Stephen Curry,GSW,26,21.2,.144,1.2
Samuel Dalembert,HOU,65,16.9,.137,0.7
Erick Dampier,ATL,15,5.5,.035,-0.1
Marquis Daniels,BOS,38,8.1,.008,-0.1
Baron Davis,NYK,29,10.0,.014,0.0
Ed Davis,TOR,66,14.2,.121,0.7
Glen Davis,ORL,61,13.2,.057,-0.4
Josh Davis,MEM,15,11.3,.124,0.1
Eric Dawson,SAS,4,14.6,.106,0.0
Austin Daye,DET,41,7.1,-0.050,-0.5
Carlos Delfino,MIL,54,11.7,.075,0.8
Luol Deng,CHI,54,14.1,.132,2.0
Justin Dentmon,TOT,6,4.8,-0.049,-0.1
Justin Dentmon,SAS,2,1.6,-0.090,0.0
Justin Dentmon,TOR,4,5.7,-0.039,-0.1
DeMar DeRozan,TOR,63,12.8,.054,-0.4
Boris Diaw,TOT,57,11.2,.019,0.1
Boris Diaw,CHA,37,10.8,-0.023,-0.2
