Rk,Tm,Overall,,,,,,,,,,,,,,,,,,,,,
1,PHO,64-18,,,,,,,,,,,,,,,,,,,,,
2,MEM,56-26,,,,,,,,,,,,,,,,,,,,,
3,GSW,53-29,,,,,,,,,,,,,,,,,,,,,
4,MIA,53-29,,,,,,,,,,,,,,,,,,,,,
5,DAL,52-30,,,,,,,,,,,,,,,,,,,,,
6,BOS,51-31,,,,,,,,,,,,,,,,,,,,,
7,MIL,51-31,,,,,,,,,,,,,,,,,,,,,
8,PHI,51-31,,,,,,,,,,,,,,,,,,,,,
9,UTA,49-33,,,,,,,,,,,,,,,,,,,,,
10,DEN,48-34,,,,,,,,,,,,,,,,,,,,,
11,TOR,48-34,,,,,,,,,,,,,,,,,,,,,
12,CHI,46-36,,,,,,,,,,,,,,,,,,,,,
13,MIN,46-36,,,,,,,,,,,,,,,,,,,,,
14,BRK,44-38,,,,,,,,,,,,,,,,,,,,,
15,CLE,44-38,,,,,,,,,,,,,,,,,,,,,
16,ATL,43-39,,,,,,,,,,,,,,,,,,,,,
17,CHO,43-39,,,,,,,,,,,,,,,,,,,,,
18,LAC,42-40,,,,,,,,,,,,,,,,,,,,,
19,NYK,37-45,,,,,,,,,,,,,,,,,,,,,
20,NOP,36-46,,,,,,,,,,,,,,,,,,,,,
21,WAS,35-47,,,,,,,,,,,,,,,,,,,,,
22,SAS,34-48,,,,,,,,,,,,,,,,,,,,,
23,LAL,33-49,,,,,,,,,,,,,,,,,,,,,
24,SAC,30-52,,,,,,,,,,,,,,,,,,,,,
25,POR,27-55,,,,,,,,,,,,,,,,,,,,,
26,IND,25-57,,,,,,,,,,,,,,,,,,,,,
27,OKC,24-58,,,,,,,,,,,,,,,,,,,,,
28,DET,23-59,,,,,,,,,,,,,,,,,,,,,
29,ORL,22-60,,,,,,,,,,,,,,,,,,,,,
30,HOU,20-62,,,,,,,,,,,,,,,,,,,,,
